19:26:05.803 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
19:26:05.914 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Apr 28 19:26:05 CST 2015]; root of context hierarchy
19:26:05.965 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
19:26:06.363 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext-web.xml]
19:26:06.384 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [security/applicationContext-shiro.xml]
19:26:06.421 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [task/applicationContext-task.xml]
19:26:06.459 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [cache/applicationContext-ehcache.xml]
19:26:06.821 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [resources.properties]
19:26:06.962 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 
19:26:06.965 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'executor' of type [class org.springframework.scheduling.config.TaskExecutorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:06.965 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'executor' of type [class org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:06.998 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService  'scheduler'
19:26:06.999 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'scheduler' of type [class org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.028 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'txAdvisor' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.085 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.AnnotationCacheOperationSource#0' of type [class org.springframework.cache.annotation.AnnotationCacheOperationSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.275 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.config.internalCacheAdvisor' of type [class org.springframework.cache.interceptor.BeanFactoryCacheOperationSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.365 [main] INFO  o.a.shiro.realm.AuthorizingRealm - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
19:26:07.366 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroDbRealm' of type [class com.huang.rp.common.web.rbac.authentication.ShiroDbRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.586 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroEhcacheManager' of type [class org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.659 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeCookie' of type [class org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.677 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeManager' of type [class org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.696 [main] INFO  o.a.s.cache.ehcache.EhCacheManager - Cache with name 'com.huang.rp.common.web.rbac.authentication.ShiroDbRealm.authorizationCache' does not yet exist.  Creating now.
19:26:07.741 [main] INFO  o.a.s.cache.ehcache.EhCacheManager - Added EhCache named [com.huang.rp.common.web.rbac.authentication.ShiroDbRealm.authorizationCache]
19:26:07.743 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.924 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor#0' of type [class org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.941 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:07.953 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:08.001 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'util:map#63a803dc' of type [class org.springframework.beans.factory.config.MapFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:08.041 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'util:map#63a803dc' of type [class java.util.LinkedHashMap] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:26:10.525 [main] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 4.3.1.Final
19:26:10.631 [main] INFO  o.s.c.e.EhCacheManagerFactoryBean - Initializing EhCache CacheManager
19:26:10.887 [main] WARN  n.s.e.config.ConfigurationFactory - No configuration found. Configuring ehcache from ehcache-failsafe.xml  found in the classpath: jar:file:/D:/gener-dev/apache-maven-3.0.4/repository/net/sf/ehcache/ehcache-core/2.6.8/ehcache-core-2.6.8.jar!/ehcache-failsafe.xml
19:26:10.937 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5129 ms
19:26:11.081 [main] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'spring': initialization started
19:26:11.084 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Tue Apr 28 19:26:11 CST 2015]; parent: Root WebApplicationContext
19:26:11.085 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mvc.xml]
19:26:11.416 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/{articleId:[\d]+}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.huang.rp.blog.access.controller.AccessController.articleIdAccess(long,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
19:26:11.417 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/article/{postName:[\D.*]+}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.huang.rp.blog.access.controller.AccessController.articlePostNameAccess(java.lang.String,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
19:26:11.417 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/excerptList],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.huang.rp.blog.access.controller.AccessController.articleExcerptListAccess(com.huang.rp.blog.access.filter.AccessFilter,org.springframework.ui.Model)
19:26:11.880 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'spring-servlet': startup date [Tue Apr 28 19:26:11 CST 2015]; parent: Root WebApplicationContext
19:26:11.975 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'spring-servlet': startup date [Tue Apr 28 19:26:11 CST 2015]; parent: Root WebApplicationContext
19:26:12.044 [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in com.huang.rp.common.exception.BaseExceptionHandler#0
19:26:12.090 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
19:26:12.115 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/static/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
19:26:12.290 [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in com.huang.rp.common.exception.BaseExceptionHandler#0
19:26:12.316 [main] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'spring': initialization completed in 1235 ms
19:26:20.840 [1947102082@qtp-523144851-0] INFO  c.h.rp.common.web.filter.BaseFilter - url filter:currenu url:[/article/1]
19:26:20.910 [1947102082@qtp-523144851-0] INFO  rp-blog-access - [admin][5rgc7v1p95f41hlo2vdni6tmk][0:0:0:0:0:0:0:1][text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8][Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36][/blog/article/1][{}][{"Accept-Language":["zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4"],"Cookie":["JSESSIONID=5rgc7v1p95f41hlo2vdni6tmk; rememberMe=ioxd8dFgq4w7WWxUvqXC9yP/kM7DUYP/l8Kf8XpPhYs7zjh3maqxUYO84lfhQlR5QQXKnvGuOYe9ZfmR/s6OOVZPL6x3o/QjyMAV8HpXbZCo7vKsL80YQGnBGLRzAxFLVJIRCwfhWwkqEvbaBOI9/hnZhpcauT9HUeqZtexmN4DwSXUs4yJefHw+ww2g77appWduxFQJl3ZyapSTkllx2rp/LebJF+pcgXSs37ISsjoYFQBZvUK6VFIeRKF9stWxCW0GC9OpG426I9cio5qaQGerNW9enOEuV4gSWJwyYqfPNLATZsgNB1BmQr33UdnRUsq1Ow7P6wln2Yq7TDFMfsSKfnGQ8b61s4BMZbJ13ofuOheJsbon6/KLjkff7KRmpp9ppG40ktlEfy/zMzGC/FmBXYNvVoSqQDsV0Stbv88MGl19Dci52dUBr88Jv3NMKaOV5tEiB2wtTDszdSVq7WnZqKE2KrymXoQkUYRk9A4ZBPh++hKGAhFv4xvJ/8W1QuwyGXfRqKWxe8x3fV6Z+g==; uid=c1d85e7a-04f5-4c18-8e38-dc10cdc5d9d3"],"RA-Ver":["2.10.0"],"Host":["localhost:9080"],"Accept-Encoding":["gzip, deflate, sdch"],"RA-Sid":["733C5418-20150428-011427-810df6-879570"],"User-Agent":["Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"],"Accept":["text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8"],"Connection":["keep-alive"],"Cache-Control":["max-age=0"]}][]
19:26:23.010 [1947102082@qtp-523144851-0] INFO  c.h.rp.common.web.filter.BaseFilter - url filter:currenu url:[/static/css/style.css]
19:26:23.033 [247317465@qtp-523144851-4] INFO  c.h.rp.common.web.filter.BaseFilter - url filter:currenu url:[/static/comp/font-awesome-4.3.0/css/font-awesome.min.css]
19:26:23.036 [1947102082@qtp-523144851-0] INFO  c.h.rp.common.web.filter.BaseFilter - url filter:currenu url:[/static/js/require.js]
19:26:23.043 [834578925@qtp-523144851-3] INFO  c.h.rp.common.web.filter.BaseFilter - url filter:currenu url:[/static/js/constant.js]
19:26:23.251 [1947102082@qtp-523144851-0] INFO  c.h.rp.common.web.filter.BaseFilter - url filter:currenu url:[/article/1]
19:26:23.255 [1947102082@qtp-523144851-0] INFO  rp-blog-access - [admin][eer5dk1hp79ac37d273yp3hu][0:0:0:0:0:0:0:1][*/*][Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36][/blog/article/1][{}][{"Accept-Language":["zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4"],"Cookie":["JSESSIONID=eer5dk1hp79ac37d273yp3hu; rememberMe=ioxd8dFgq4w7WWxUvqXC9yP/kM7DUYP/l8Kf8XpPhYs7zjh3maqxUYO84lfhQlR5QQXKnvGuOYe9ZfmR/s6OOVZPL6x3o/QjyMAV8HpXbZCo7vKsL80YQGnBGLRzAxFLVJIRCwfhWwkqEvbaBOI9/hnZhpcauT9HUeqZtexmN4DwSXUs4yJefHw+ww2g77appWduxFQJl3ZyapSTkllx2rp/LebJF+pcgXSs37ISsjoYFQBZvUK6VFIeRKF9stWxCW0GC9OpG426I9cio5qaQGerNW9enOEuV4gSWJwyYqfPNLATZsgNB1BmQr33UdnRUsq1Ow7P6wln2Yq7TDFMfsSKfnGQ8b61s4BMZbJ13ofuOheJsbon6/KLjkff7KRmpp9ppG40ktlEfy/zMzGC/FmBXYNvVoSqQDsV0Stbv88MGl19Dci52dUBr88Jv3NMKaOV5tEiB2wtTDszdSVq7WnZqKE2KrymXoQkUYRk9A4ZBPh++hKGAhFv4xvJ/8W1QuwyGXfRqKWxe8x3fV6Z+g==; uid=c1d85e7a-04f5-4c18-8e38-dc10cdc5d9d3"],"RA-Ver":["2.10.0"],"Host":["localhost:9080"],"Accept-Encoding":["gzip, deflate, sdch"],"RA-Sid":["733C5418-20150428-011427-810df6-879570"],"User-Agent":["Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"],"Accept":["*/*"],"Connection":["keep-alive"]}][]
